level,alpha,prev_cutoff,total_taxa_n,input_taxa_n,retained_taxa_n,train_cv_auc,train_cv_auc_ci_lower,train_cv_auc_ci_upper,train_auc,train_auc_ci_lower,train_auc_ci_upper,external_auc,external_auc_ci_lower,external_auc_ci_upper,train_loso_mean,train_loso_sd,train_isv_mean,train_isv_weighted_mean,train_loso_weighted_mean,status,rank_within_level,is_best
order,0.5,0.1,129,63,31,0.734202097920053,0.70368078361264,0.764723412227465,0.773232333380217,0.745971489165726,0.800493177594708,0.666871113382741,0.625583069052727,0.708159157712756,0.600682973421875,0.127916455419623,0.490798721100828,0.479738427102536,0.586417534291598,OK,8,FALSE
order,0.5,0.2,129,52,20,0.715421824745018,0.682322246887931,0.748521402602106,0.743833175939507,0.715015445135134,0.77265090674388,0.655762841809353,0.614088696096278,0.697436987522429,0.594064312321071,0.11220409858906,0.52046362703617,0.497080919450114,0.580694556829412,OK,12,FALSE
order,0.5,0.3,129,43,15,0.691599447925459,0.654324559514431,0.728874336336487,0.718717139852787,0.688655955344573,0.748778324361,0.647755345429764,0.604823767120057,0.690686923739471,0.607425481449347,0.0956275993143818,0.512052555412763,0.491367710240128,0.592074542769385,OK,2,FALSE
order,1,0.01,129,87,39,0.736242585278584,0.70767025117412,0.764814919383048,0.782146851788597,0.755406249561724,0.808887454015469,0.685705767101116,0.645102914800492,0.726308619401739,0.618803674736678,0.11411388523949,0.485247627750668,0.476926826843079,0.587425933890171,OK,6,FALSE
order,1,0.05,129,70,31,0.731259844010428,0.701985189908131,0.760534498112725,0.771668441533217,0.74432648542448,0.799010397641953,0.670857824346197,0.629521928520043,0.71219372017235,0.616459447465693,0.109162791198827,0.491100719629672,0.480010331547,0.587175376093951,OK,7,FALSE
order,1,0.1,129,63,32,0.734147149759578,0.704479697320869,0.763814602198288,0.773567213861373,0.746326508631422,0.800807919091324,0.66653888746912,0.625125799007436,0.707951975930805,0.61490018845102,0.11224003743935,0.492323151910116,0.478591967656436,0.591714436311292,OK,4,FALSE
order,1,0.2,129,52,19,0.715368929693304,0.68235457392697,0.748383285459638,0.744107777934055,0.7152934311429,0.772922124725211,0.654791719907999,0.612865606525891,0.696717833290107,0.597663890659821,0.111785458587671,0.516724918207319,0.495027940053376,0.582231438349341,OK,11,FALSE
order,1,0.3,129,43,14,0.692386624202908,0.655622415700655,0.729150832705161,0.71881090638751,0.688770792969674,0.748851019805346,0.645463838487094,0.602323955243046,0.688603721731143,0.591051321920932,0.110419468485472,0.52054436936259,0.497466242730196,0.588759510296883,OK,1,TRUE
phylum,0.1,0.01,20,14,7,0.63591274614544,0.607371926726004,0.664453565564877,0.646979043179489,0.614532106261271,0.679425980097707,0.552261691796575,0.507744702824944,0.596778680768207,0.602184503366453,0.0980132483192558,0.434542974386724,0.382613114010173,0.580056200132953,OK,12,FALSE
phylum,0.1,0.05,20,12,5,0.633388467035267,0.604671463121303,0.66210547094923,0.643298706691582,0.610702522763878,0.675894890619285,0.553539483772042,0.508984685179932,0.598094282364152,0.590398167493462,0.108423074633035,0.433996775793651,0.382227249874309,0.572107939428681,OK,14,FALSE
phylum,0.1,0.1,20,11,6,0.636588755146459,0.608226508346584,0.664951001946335,0.645790217471384,0.61327404073841,0.67830639420436,0.552968736689667,0.508481974278899,0.597455499100435,0.608481037004903,0.0965901656618296,0.433996775793651,0.382227249874309,0.586698695395336,OK,8,FALSE
phylum,0.1,0.2,20,11,6,0.636588755146459,0.608226508346584,0.664951001946335,0.645790217471384,0.61327404073841,0.67830639420436,0.552968736689667,0.508481974278899,0.597455499100435,0.608481037004903,0.0965901656618296,0.433996775793651,0.382227249874309,0.586698695395336,OK,9,FALSE
phylum,0.1,0.3,20,11,6,0.636588755146459,0.608226508346584,0.664951001946335,0.645790217471384,0.61327404073841,0.67830639420436,0.552968736689667,0.508481974278899,0.597455499100435,0.606477247470091,0.0967796744262314,0.433996775793651,0.382227249874309,0.584972880858709,OK,11,FALSE
phylum,0.5,0.01,20,14,5,0.633699921764236,0.606182776581631,0.66121706694684,0.646677650746449,0.614153834272231,0.679201467220666,0.549237584121305,0.504339845251229,0.594135322991381,0.5916358542832,0.103136161501518,0.452576490192642,0.431799322131769,0.572221738248702,OK,13,FALSE
phylum,0.5,0.05,20,12,5,0.633804975691167,0.604478871172629,0.663131080209706,0.644762134394235,0.612158602181124,0.677365666607346,0.554263565891473,0.509786059135478,0.598741072647468,0.608607913948459,0.100513202194106,0.455358213677491,0.43572789356034,0.586294702645905,OK,10,FALSE
phylum,0.5,0.1,20,11,5,0.634886702488188,0.605491143818312,0.664282261158063,0.643727353707462,0.611099733222907,0.676354974192017,0.558284351307607,0.513972852487226,0.602595850127989,0.608552641839616,0.10648699439066,0.462811372497837,0.440510892424222,0.587070289968255,OK,6,FALSE
phylum,0.5,0.2,20,11,5,0.634886702488188,0.605491143818312,0.664282261158063,0.643727353707462,0.611099733222907,0.676354974192017,0.558284351307607,0.513972852487226,0.602595850127989,0.608552641839616,0.10648699439066,0.462811372497837,0.440510892424222,0.587070289968255,OK,7,FALSE
